Date,NewConfCases,NewDeaths,Date
2020-02-27,2,0,2020-02-27
2020-02-28,0,0,2020-02-28
2020-02-29,4,0,2020-02-29
2020-03-01,1,0,2020-03-01
2020-03-02,3,0,2020-03-02
2020-03-03,3,0,2020-03-03
2020-03-04,2,0,2020-03-04
2020-03-05,8,0,2020-03-05
2020-03-06,6,0,2020-03-06
2020-03-07,5,0,2020-03-07
2020-03-08,6,0,2020-03-08
2020-03-09,9,0,2020-03-09
2020-03-10,13,0,2020-03-10
2020-03-11,39,0,2020-03-11
2020-03-12,39,0,2020-03-12
2020-03-13,23,0,2020-03-13
2020-03-14,55,0,2020-03-14
2020-03-15,32,1,2020-03-15
2020-03-16,76,0,2020-03-16
2020-03-17,103,0,2020-03-17
2020-03-18,139,1,2020-03-18
2020-03-19,111,1,2020-03-19
2020-03-20,32,1,2020-03-20
2020-03-21,214,1,2020-03-21
2020-03-22,59,1,2020-03-22
2020-03-23,89,0,2020-03-23
2020-03-24,148,2,2020-03-24
2020-03-25,147,2,2020-03-25
2020-03-26,132,3,2020-03-26
2020-03-27,127,2,2020-03-27
2020-03-28,74,4,2020-03-28
2020-03-29,32,3,2020-03-29
2020-03-30,126,2,2020-03-30
2020-03-31,88,3,2020-03-31
2020-04-01,189,9,2020-04-01
2020-04-02,164,3,2020-04-02
2020-04-03,128,2,2020-04-03
2020-04-04,33,7,2020-04-04
2020-04-05,30,4,2020-04-05
2020-04-06,114,2,2020-04-06
2020-04-07,83,2,2020-04-07
2020-04-08,95,8,2020-04-08
2020-04-09,97,2,2020-04-09
2020-04-10,40,5,2020-04-10
2020-04-11,58,6,2020-04-11
2020-04-12,17,2,2020-04-12
2020-04-13,17,4,2020-04-13
2020-04-14,47,4,2020-04-14
2020-04-15,47,4,2020-04-15
2020-04-16,35,4,2020-04-16
2020-04-17,23,5,2020-04-17
2020-04-18,39,5,2020-04-18
2020-04-19,27,0,2020-04-19
2020-04-20,16,2,2020-04-20
2020-04-21,25,2,2020-04-21
2020-04-22,40,1,2020-04-22
2020-04-23,17,3,2020-04-23
2020-04-24,29,1,2020-04-24
2020-04-25,31,1,2020-04-25
2020-04-26,3,0,2020-04-26
2020-04-27,18,4,2020-04-27
2020-04-28,15,0,2020-04-28
2020-04-29,29,2,2020-04-29
2020-04-30,11,2,2020-04-30
2020-05-01,13,0,2020-05-01
2020-05-02,3,0,2020-05-02
2020-05-03,4,0,2020-05-03
2020-05-04,2,0,2020-05-04
2020-05-05,16,1,2020-05-05
2020-05-06,15,1,2020-05-06
2020-05-07,10,0,2020-05-07
2020-05-08,10,0,2020-05-08
2020-05-09,5,1,2020-05-09
2020-05-10,3,0,2020-05-10
2020-05-11,5,0,2020-05-11
2020-05-12,2,0,2020-05-12
2020-05-13,6,0,2020-05-13
2020-05-14,5,0,2020-05-14
2020-05-15,2,1,2020-05-15
2020-05-16,5,0,2020-05-16
2020-05-17,2,0,2020-05-17
2020-05-18,4,0,2020-05-18
2020-05-19,4,1,2020-05-19
2020-05-20,3,0,2020-05-20
2020-05-21,1,1,2020-05-21
2020-05-22,2,1,2020-05-22
2020-05-23,2,0,2020-05-23
2020-05-24,1,0,2020-05-24
2020-05-25,2,0,2020-05-25
2020-05-26,6,0,2020-05-26
2020-05-27,3,0,2020-05-27
2020-05-28,5,0,2020-05-28
2020-05-29,6,0,2020-05-29
2020-05-30,6,0,2020-05-30
2020-05-31,0,0,2020-05-31
2020-06-01,0,0,2020-06-01
2020-06-02,2,0,2020-06-02
2020-06-03,3,0,2020-06-03
2020-06-04,8,0,2020-06-04
2020-06-05,6,0,2020-06-05
2020-06-06,4,0,2020-06-06
2020-06-07,0,0,2020-06-07
2020-06-08,0,0,2020-06-08
2020-06-09,0,0,2020-06-09
2020-06-10,3,0,2020-06-10
2020-06-11,2,0,2020-06-11
2020-06-12,2,0,2020-06-12
2020-06-13,3,0,2020-06-13
2020-06-14,5,0,2020-06-14
2020-06-15,7,0,2020-06-15
2020-06-16,7,0,2020-06-16
2020-06-17,10,0,2020-06-17
2020-06-18,5,0,2020-06-18
2020-06-19,1,0,2020-06-19
2020-06-20,7,0,2020-06-20
2020-06-21,5,0,2020-06-21
2020-06-22,3,0,2020-06-22
2020-06-23,4,0,2020-06-23
2020-06-24,16,0,2020-06-24
2020-06-25,7,0,2020-06-25
2020-06-26,19,0,2020-06-26
